city,longitude,latitude
Mont Saint Michel,-1.51,48.64
St Malo,-2.03,48.65
Bayeux,-0.70,49.28
Le Havre,0.11,49.49
Rouen,1.09,49.44
Paris,2.35,48.85
Amiens,2.30,49.89
Lille,3.06,50.64
Strasbourg,7.75,48.58
Chateau du Haut Koenigsbourg,7.34,48.25
Colmar,7.36,48.08
Eguisheim,7.31,48.04
Besancon,6.02,47.24
Dijon,5.04,47.32
Annecy,6.13,45.90
Grenoble,5.74,45.19
Lyon,4.83,45.76
Aups,6.23,43.63
Bormes les Mimosas,6.34,43.15
Cassis,5.54,43.21
Marseille,5.37,43.30
Aix en Provence,5.45,43.53
Avignon,4.81,43.95
Uzes,4.42,44.01
Nimes,4.36,43.84
Aigues Mortes,4.19,43.57
Saintes Maries de la mer,4.43,43.45
Collioure,3.08,42.53
Carcassonne,2.35,43.21
Foix,1.61,42.96
Toulouse,1.44,43.60
Montauban,1.35,44.02
Biarritz,-1.55,43.47
Bayonne,-1.47,43.49
La Rochelle,-1.15,46.16
